,index,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,depth,height,width
38,119,119,9306416,NYHAMN,Beds,1470.0,,True,https://www.ikea.com/sa/en/p/nyhamn-sofa-bed-with-triple-cushion-with-foam-mattress-skiftebo-yellow-s09306416/,Yes,        Sofa-bed with triple cushion,97.0,90.0,200.0
39,121,121,29291956,SLÄKT,Beds,1395.0,,True,https://www.ikea.com/sa/en/p/slaekt-bed-frame-w-storage-slatted-bedbase-white-s29291956/,No,"        Bed frame w storage+slatted bedbase,          90x200 cm",57.0,14.0,96.0
40,122,122,70284203,ASKEBY,Beds,995.0,,True,https://www.ikea.com/sa/en/p/askeby-two-seat-sofa-bed-black-70284203/,No,        Two-seat sofa-bed,72.0,72.0,149.0
41,123,123,20228709,BRIMNES,Beds,220.0,,True,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-20228709/,Yes,"        Headboard with storage compartment,          140 cm",28.0,111.0,146.0
42,126,126,9186126,HEMNES,Beds,2185.0,,True,https://www.ikea.com/sa/en/p/hemnes-day-bed-w-3-drawers-2-mattresses-white-husvika-firm-s09186126/,Yes,"        Day-bed w 3 drawers/2 mattresses,          80x200 cm",70.0,18.0,89.0
43,129,129,40349847,NORDLI,Beds,1595.0,,True,https://www.ikea.com/sa/en/p/nordli-bed-frame-with-storage-white-40349847/,Yes,"        Bed frame with storage,          140x200 cm",51.0,16.0,140.0
44,133,133,39277498,VALLENTUNA,Beds,1848.0,"2,310",True,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-with-backrests-orrsta-light-grey-s39277498/,Yes,        Sofa-bed module with backrests,93.0,84.0,113.0
45,134,134,40411410,VITVAL,Beds,200.0,,True,https://www.ikea.com/sa/en/p/vitval-desk-top-white-40411410/,No,"        Desk top,          95x45 cm",45.0,73.0,95.0
46,135,135,89302914,PLATSA,Beds,2307.0,"2,560",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-drawers-white-fonnes-s89302914/,No,"        Bed frame with 10 drawers,          140x244x103 cm",40.0,43.0,140.0
47,136,136,10453086,PLATSA,Beds,1195.0,,True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-10453086/,No,"        Bed frame with storage,          140x200 cm",40.0,43.0,140.0
48,137,137,9324284,PLATSA,Beds,3339.0,"3,760",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-6-doors-12-drawers-white-fonnes-s09324284/,No,"        Bed frame with 6 doors+12 drawers,          140x244x203 cm",40.0,43.0,140.0
49,141,141,228705,BRIMNES,Beds,1095.0,,True,https://www.ikea.com/sa/en/p/brimnes-day-bed-frame-with-2-drawers-white-00228705/,No,"        Day-bed frame with 2 drawers,          80x200 cm",53.0,21.0,86.0
50,142,142,29241160,SONGESAND,Beds,1245.0,,True,https://www.ikea.com/sa/en/p/songesand-bed-frame-with-4-storage-boxes-brown-loenset-s29241160/,Yes,"        Bed frame with 4 storage boxes,          140x200 cm",64.0,14.0,153.0
51,144,144,89386070,SLÄKT,Beds,1260.0,,True,https://www.ikea.com/sa/en/p/slaekt-bed-frame-with-3-storage-boxes-white-s89386070/,No,"        Bed frame with 3 storage boxes,          90x200 cm",53.0,35.0,96.0
52,147,147,19166180,LYCKSELE MURBO,Beds,1445.0,,True,https://www.ikea.com/sa/en/p/lycksele-murbo-two-seat-sofa-bed-ebbarp-black-white-s19166180/,Yes,        Two-seat sofa-bed,100.0,87.0,142.0
53,149,149,99302918,PLATSA,Beds,1767.0,"1,885",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-2-drawers-white-fonnes-s99302918/,No,"        Bed frame with 2 drawers,          142x244x103 cm",40.0,43.0,141.0
54,154,154,59302915,PLATSA,Beds,2905.0,"3,265",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-doors-6-drawers-white-fonnes-ridabu-s59302915/,No,"        Bed frame with 4 doors+6 drawers,          140x200x223 cm",40.0,43.0,141.0
