product_id,product_category,Height,width,material,color,product_image,product_brand,product_price,product_offer,product_rate,seller_id,product_name,product_description,depth
19299726,Beds,83,349,,,,,7765,,,,VIMLE,"        Corner sofa-bed, 5-seat",98
29257066,Beds,102,208,,,,,4040,,,,LIDHULT,        2-seat sofa-bed,98
39292465,Beds,83,246,,,,,4120,,,,VIMLE,        3-seat sofa-bed,98
69292275,Beds,83,261,,,,,4265,,,,VIMLE,        3-seat sofa-bed,98
69297471,Beds,79,200,,,,,1996,,,,FLOTTEBO,"        Sofa-bed,          120 cm",120
39266094,Beds,102,298,,,,,5840,,,,LIDHULT,        3-seat sofa-bed,164
89149936,Beds,87,142,,,,,1645,,,,LYCKSELE HÅVET,        Two-seat sofa-bed,100
39277196,Beds,104,160,,,,,3145,,,,GRÖNLID,        2-seat sofa-bed section,98
59266074,Beds,102,298,,,,,7873,,,,LIDHULT,        3-seat sofa-bed,164
39266008,Beds,102,208,,,,,5553,,,,LIDHULT,        2-seat sofa-bed,98
59297141,Bookcases & shelving units,70,25,,,,,135,,,,JONAXEL,"        Frame with mesh baskets,          25x51x70 cm",51
59201841,Bookcases & shelving units,181,92,,,,,290,,,,OLAUS,"        1 shelf section,          92x36x181 cm",36
59297674,Bookcases & shelving units,173,198,,,,,915,,,,JONAXEL,"        Frame/mesh baskts/clths rl/shlv uts,          198x51x173 cm",51
450347,Bookcases & shelving units,81,80,,,,,345,,,,KOLBJÖRN,"        Cabinet in/outdoor,          80x81 cm",35
69297287,Bookcases & shelving units,160,182,,,,,375,,,,JONAXEL,"        Shelving unit,          182x51x160 cm",51
70261131,Bookcases & shelving units,180,60,,,,,95,,,,GERSBY,"        Bookcase,          60x180 cm",24
20275814,Bookcases & shelving units,77,77,,,,,115,,,,KALLAX,"        Shelving unit,          77x77 cm",39
60282186,Bookcases & shelving units,190,30,,,,,199,,,,LACK,"        Wall shelf unit,          30x190 cm",28
278578,Bookcases & shelving units,140,60,,,,,59,,,,HYLLIS,"        Shelving unit,          60x27x140 cm",27
80275887,Bookcases & shelving units,147,77,,,,,250,,,,KALLAX,"        Shelving unit,          77x147 cm",39
50419972,Bookcases & shelving units,160,80,,,,,175,,,,JONAXEL,"        Shelving unit,          80x38x160 cm",38
30428326,Bookcases & shelving units,74,60,,,,,39,,,,HYLLIS,"        Shelving unit,          60x27x74 cm",27
40178591,Bookcases & shelving units,165,62,,,,,85,,,,LAIVA,"        Bookcase,          62x165 cm",24
20346072,Bookcases & shelving units,35,33,,,,,30,,,,KALLAX,        Shelf insert,12
90305803,Bookcases & shelving units,93,100,,,,,245,,,,VITTSJÖ,"        Shelving unit,          100x93 cm",36
263850,Bookcases & shelving units,202,80,,,,,185,,,,BILLY,"        Bookcase,          80x28x202 cm",28
50263838,Bookcases & shelving units,202,40,,,,,145,,,,BILLY,"        Bookcase,          40x28x202 cm",28
30419973,Bookcases & shelving units,70,25,,,,,75,,,,JONAXEL,"        Shelving unit,          25x51x70 cm",51
19222299,Bookcases & shelving units,147,77,,,,,450,,,,KALLAX,"        Desk combination,          77x147x159 cm",159
275848,Bookcases & shelving units,147,42,,,,,195,,,,KALLAX,"        Shelving unit,          42x147 cm",39
50214678,Bookcases & shelving units,175,51,,,,,225,,,,VITTSJÖ,"        Shelving unit,          51x175 cm",36
